Hotspot_Name,Bird_Name
Taughannock Falls SP--Lakeshore E of Creek,Hooded Merganser
Taughannock Falls SP--Lakeshore E of Creek,crow sp.
Taughannock Falls SP--Lakeshore E of Creek,Red-eyed Vireo
Taughannock Falls SP--Lakeshore E of Creek,Bank Swallow
Taughannock Falls SP--Lakeshore E of Creek,Chimney Swift
Taughannock Falls SP--Lakeshore E of Creek,Larus sp.
Taughannock Falls SP--Lakeshore E of Creek,Yellow-throated Vireo
Taughannock Falls SP--Lakeshore E of Creek,Brown-headed Cowbird
Taughannock Falls SP--Lakeshore E of Creek,American Redstart
Taughannock Falls SP--Lakeshore E of Creek,Rock Pigeon
Taughannock Falls SP--Lakeshore E of Creek,Scarlet Tanager
Taughannock Falls SP--Lakeshore E of Creek,American Wigeon
Taughannock Falls SP--Lakeshore E of Creek,American Black Duck
Taughannock Falls SP--Lakeshore E of Creek,Greater/Lesser Scaup
Taughannock Falls SP--Lakeshore E of Creek,Long-tailed Duck
Taughannock Falls SP--Lakeshore E of Creek,Green-winged Teal
Taughannock Falls SP--Lakeshore E of Creek,Common Goldeneye
Taughannock Falls SP--Lakeshore E of Creek,Redhead
Taughannock Falls SP--Lakeshore E of Creek,Gadwall
Taughannock Falls SP--Lakeshore E of Creek,Ring-necked Duck
Taughannock Falls SP--Lakeshore E of Creek,Aythya sp.
Taughannock Falls SP--Lakeshore E of Creek,Greater Scaup
Taughannock Falls SP--Lakeshore E of Creek,Bald Eagle
Taughannock Falls SP--Lakeshore E of Creek,Golden-crowned Kinglet
Taughannock Falls SP--Lakeshore E of Creek,Brown Creeper
Taughannock Falls SP--Lakeshore E of Creek,Blackpoll Warbler
Taughannock Falls SP--Lakeshore E of Creek,Spotted Sandpiper
Taughannock Falls SP--Lakeshore E of Creek,Rose-breasted Grosbeak
Taughannock Falls SP--Lakeshore E of Creek,Tennessee Warbler
Taughannock Falls SP--Lakeshore E of Creek,Wood Thrush
Taughannock Falls SP--Lakeshore E of Creek,Common Yellowthroat
Taughannock Falls SP--Lakeshore E of Creek,Cape May Warbler
Taughannock Falls SP--Lakeshore E of Creek,Magnolia Warbler
Taughannock Falls SP--Lakeshore E of Creek,Bay-breasted Warbler
Taughannock Falls SP--Lakeshore E of Creek,Blackburnian Warbler
Taughannock Falls SP--Lakeshore E of Creek,Ruby-throated Hummingbird
Taughannock Falls SP--Lakeshore E of Creek,Wild Turkey
Taughannock Falls SP--Lakeshore E of Creek,Cliff Swallow
Taughannock Falls SP--Lakeshore E of Creek,Snow Goose
Taughannock Falls SP--Lakeshore E of Creek,Black Scoter
Taughannock Falls SP--Lakeshore E of Creek,Great Egret
Taughannock Falls SP--Lakeshore E of Creek,Lesser Scaup
Taughannock Falls SP--Lakeshore E of Creek,Red-throated Loon
Taughannock Falls SP--Lakeshore E of Creek,Pied-billed Grebe
Taughannock Falls SP--Lakeshore E of Creek,scoter sp.
Taughannock Falls SP--Lakeshore E of Creek,goose sp.
Taughannock Falls SP--Lakeshore E of Creek,Mute Swan
Taughannock Falls SP--Lakeshore E of Creek,duck sp.
